지표명,구분유형,sex,agegroup,값,단위,se,n,출처,통합연도
주중평균수면시간,연령대,,50-59,6.77,시간,0.025268393024873808,3109.0,KNHANES 제9기,2022+2023+2024
주중평균수면시간,연령대,,60-69,6.8,시간,0.026970592529415374,3633.0,KNHANES 제9기,2022+2023+2024
주중평균수면시간,연령대,,70+,6.85,시간,0.03856242051590345,3292.0,KNHANES 제9기,2022+2023+2024
주중평균수면시간,성별×연령대,1.0,19-29,7.12,시간,0.04474351583646798,877.0,KNHANES 제9기,2022+2023+2024
주중평균수면시간,성별×연령대,1.0,30-39,6.77,시간,0.04185201219566069,884.0,KNHANES 제9기,2022+2023+2024
주중평균수면시간,성별×연령대,1.0,40-49,6.74,시간,0.03818280014445737,1152.0,KNHANES 제9기,2022+2023+2024
주중평균수면시간,성별×연령대,1.0,50-59,6.77,시간,0.03405208050512113,1285.0,KNHANES 제9기,2022+2023+2024
주중평균수면시간,성별×연령대,1.0,60-69,6.88,시간,0.03722369309206845,1568.0,KNHANES 제9기,2022+2023+2024
주중평균수면시간,성별×연령대,1.0,70+,7.11,시간,0.04743752825520684,1447.0,KNHANES 제9기,2022+2023+2024
주중평균수면시간,성별×연령대,2.0,19-29,7.11,시간,0.05438879095343964,1038.0,KNHANES 제9기,2022+2023+2024
주중평균수면시간,성별×연령대,2.0,30-39,7.01,시간,0.04522005352216646,1081.0,KNHANES 제9기,2022+2023+2024
주중평균수면시간,성별×연령대,2.0,40-49,6.94,시간,0.03739497044947426,1586.0,KNHANES 제9기,2022+2023+2024
주중평균수면시간,성별×연령대,2.0,50-59,6.77,시간,0.03266992068317319,1824.0,KNHANES 제9기,2022+2023+2024
주중평균수면시간,성별×연령대,2.0,60-69,6.72,시간,0.03583444083966639,2065.0,KNHANES 제9기,2022+2023+2024
주중평균수면시간,성별×연령대,2.0,70+,6.67,시간,0.0467671647056622,1845.0,KNHANES 제9기,2022+2023+2024
EQ5D_불안우울문제,전체,,,21.7,%,0.004581708254648068,10919.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,성별,1.0,,15.9,%,0.006122500990179647,4710.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,성별,2.0,,27.4,%,0.006931913851231868,6209.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,연령대,,19-29,23.6,%,0.01356370681539792,1308.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,연령대,,30-39,20.6,%,0.012509230609890806,1294.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,연령대,,40-49,22.2,%,0.010200550339780061,1772.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,연령대,,50-59,22.3,%,0.010870317258530096,2013.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,연령대,,60-69,20.7,%,0.009971650944104538,2325.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,연령대,,70+,20.1,%,0.010228127964616847,2207.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,성별×연령대,1.0,19-29,16.6,%,0.017045185319470274,593.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,성별×연령대,1.0,30-39,14.6,%,,582.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,성별×연령대,1.0,40-49,16.7,%,0.013425298980516474,733.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,성별×연령대,1.0,50-59,18.1,%,0.014983847383162597,847.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,성별×연령대,1.0,60-69,15.0,%,0.013582501450574247,998.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,성별×연령대,1.0,70+,13.1,%,0.011876797239608243,957.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,성별×연령대,2.0,19-29,31.4,%,,715.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,성별×연령대,2.0,30-39,27.3,%,,712.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,성별×연령대,2.0,40-49,27.9,%,0.015668030327072768,1039.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,성별×연령대,2.0,50-59,26.6,%,0.014779231823153355,1166.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,성별×연령대,2.0,60-69,26.1,%,0.012800715566394638,1327.0,KNHANES 제9기,2022+2024
EQ5D_불안우울문제,성별×연령대,2.0,70+,25.2,%,0.014187121201392604,1250.0,KNHANES 제9기,2022+2024
