year,income_now,income_first,is_first_job,job_major,satis_overall,satis_growth,health,life_satis,happy_last_month,quit_reason_first,move_reason_1,changed_job,income_change_pct,income_up,income_down
2020,230.0,280.0,2.0,4.0,3.0,3.0,3.0,6.0,5.0,9.0,2.0,1.0,-17.857142857142858,0,1
2020,320.0,100.0,2.0,4.0,4.0,4.0,3.0,7.0,7.0,1.0,,1.0,220.00000000000003,1,0
2020,185.0,200.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,,1.0,-7.5,0,1
2020,230.0,160.0,2.0,4.0,3.0,4.0,4.0,7.0,7.0,4.0,,1.0,43.75,1,0
2020,210.0,84.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,11.0,,1.0,150.0,1,0
2020,200.0,150.0,2.0,9.0,3.0,3.0,4.0,4.0,4.0,4.0,,1.0,33.33333333333333,1,0
2020,290.0,300.0,2.0,4.0,5.0,5.0,5.0,7.0,7.0,1.0,5.0,1.0,-3.3333333333333335,0,1
2020,180.0,190.0,2.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,1.0,-5.263157894736842,0,1
2020,140.0,150.0,2.0,6.0,4.0,4.0,5.0,5.0,5.0,7.0,,1.0,-6.666666666666667,0,1
2020,230.0,210.0,2.0,4.0,3.0,3.0,2.0,5.0,5.0,12.0,3.0,1.0,9.523809523809524,1,0
2020,189.0,220.0,2.0,4.0,4.0,3.0,3.0,5.0,5.0,11.0,,1.0,-14.09090909090909,0,1
2020,220.0,190.0,2.0,4.0,4.0,4.0,5.0,7.0,6.0,5.0,,1.0,15.789473684210526,1,0
2020,120.0,180.0,2.0,6.0,4.0,4.0,2.0,4.0,3.0,10.0,,1.0,-33.33333333333333,0,1
2020,200.0,170.0,2.0,7.0,3.0,3.0,4.0,4.0,4.0,1.0,,1.0,17.647058823529413,1,0
2020,190.0,200.0,2.0,5.0,3.0,4.0,4.0,6.0,5.0,3.0,,1.0,-5.0,0,1
2020,200.0,220.0,2.0,9.0,4.0,5.0,3.0,5.0,5.0,1.0,,1.0,-9.090909090909092,0,1
2020,200.0,190.0,2.0,1.0,4.0,4.0,3.0,5.0,4.0,13.0,,1.0,5.263157894736842,1,0
2020,200.0,200.0,2.0,6.0,4.0,3.0,2.0,4.0,4.0,1.0,,1.0,0.0,0,0
2020,200.0,130.0,2.0,5.0,3.0,2.0,4.0,2.0,4.0,11.0,5.0,1.0,53.84615384615385,1,0
2020,189.0,165.0,2.0,7.0,4.0,4.0,3.0,7.0,4.0,5.0,,1.0,14.545454545454545,1,0
2020,230.0,220.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,2.0,,1.0,4.545454545454546,1,0
2020,250.0,210.0,2.0,5.0,4.0,4.0,5.0,7.0,4.0,1.0,,1.0,19.047619047619047,1,0
2020,180.0,180.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,10.0,,1.0,0.0,0,0
2020,182.0,175.0,2.0,5.0,3.0,2.0,3.0,3.0,2.0,5.0,5.0,1.0,4.0,1,0
2020,230.0,235.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,11.0,,1.0,-2.127659574468085,0,1
2020,160.0,80.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,100.0,1,0
2020,216.0,200.0,2.0,5.0,4.0,4.0,4.0,6.0,6.0,5.0,,1.0,8.0,1,0
2020,80.0,180.0,2.0,7.0,2.0,3.0,1.0,4.0,5.0,10.0,,1.0,-55.55555555555556,0,1
2020,190.0,170.0,2.0,5.0,4.0,4.0,2.0,2.0,5.0,10.0,,1.0,11.76470588235294,1,0
2020,260.0,80.0,2.0,5.0,4.0,4.0,3.0,2.0,3.0,5.0,11.0,1.0,225.0,1,0
2020,195.0,200.0,2.0,5.0,4.0,5.0,5.0,6.0,6.0,2.0,,1.0,-2.5,0,1
2020,100.0,200.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,14.0,,1.0,-50.0,0,1
2020,200.0,179.0,2.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,,1.0,11.731843575418994,1,0
2020,160.0,170.0,2.0,3.0,4.0,4.0,4.0,4.0,6.0,7.0,,1.0,-5.88235294117647,0,1
2020,209.0,172.0,2.0,5.0,3.0,4.0,4.0,7.0,7.0,5.0,5.0,1.0,21.511627906976745,1,0
2020,230.0,200.0,2.0,6.0,4.0,4.0,4.0,4.0,5.0,4.0,,1.0,15.0,1,0
2020,250.0,200.0,2.0,8.0,4.0,5.0,4.0,7.0,4.0,5.0,,1.0,25.0,1,0
2020,130.0,200.0,2.0,6.0,4.0,3.0,4.0,5.0,6.0,1.0,2.0,1.0,-35.0,0,1
2020,160.0,160.0,2.0,5.0,5.0,2.0,4.0,1.0,7.0,2.0,,1.0,0.0,0,0
2020,172.0,100.0,2.0,7.0,4.0,4.0,3.0,4.0,4.0,1.0,,1.0,72.0,1,0
2020,250.0,250.0,2.0,3.0,5.0,5.0,4.0,7.0,7.0,1.0,,1.0,0.0,0,0
2020,260.0,240.0,2.0,3.0,4.0,4.0,4.0,6.0,5.0,1.0,,1.0,8.333333333333332,1,0
2020,230.0,50.0,2.0,3.0,5.0,5.0,4.0,7.0,7.0,8.0,,1.0,360.0,1,0
