지표명,구분유형,sex,agegroup,값,단위,se,n,출처,조사연도,대상
우울함유병,성별×연령대,1.0,30-39,0.9,%,0.0015451489758525985,3754.0,KWCS 7차,2023,취업자
우울함유병,성별×연령대,1.0,40-49,1.8,%,0.002411850998013734,4551.0,KWCS 7차,2023,취업자
우울함유병,성별×연령대,1.0,50-59,2.2,%,0.0024658563883728107,5905.0,KWCS 7차,2023,취업자
우울함유병,성별×연령대,1.0,60-69,2.3,%,0.0026040484901668046,5340.0,KWCS 7차,2023,취업자
우울함유병,성별×연령대,1.0,70+,3.3,%,0.004121565291111156,2447.0,KWCS 7차,2023,취업자
우울함유병,성별×연령대,2.0,19-29,3.0,%,,1937.0,KWCS 7차,2023,취업자
우울함유병,성별×연령대,2.0,30-39,2.2,%,0.0029091531723471676,3704.0,KWCS 7차,2023,취업자
우울함유병,성별×연령대,2.0,40-49,2.0,%,0.002249901348051811,4514.0,KWCS 7차,2023,취업자
우울함유병,성별×연령대,2.0,50-59,3.1,%,0.0025089457814727245,7373.0,KWCS 7차,2023,취업자
우울함유병,성별×연령대,2.0,60-69,3.5,%,0.0031303459986361114,5736.0,KWCS 7차,2023,취업자
우울함유병,성별×연령대,2.0,70+,6.2,%,0.0056776705206359026,3202.0,KWCS 7차,2023,취업자
수면장애,전체,,,8.3,%,0.0016016010670202641,50151.0,KWCS 7차,2023,취업자
수면장애,성별,1.0,,8.0,%,0.0022626975692141144,23654.0,KWCS 7차,2023,취업자
수면장애,성별,2.0,,8.6,%,0.0022201511696323373,26497.0,KWCS 7차,2023,취업자
수면장애,연령대,,19-29,4.5,%,0.004097647800798637,3563.0,KWCS 7차,2023,취업자
수면장애,연령대,,30-39,7.2,%,0.003865413266722315,7472.0,KWCS 7차,2023,취업자
수면장애,연령대,,40-49,7.7,%,0.0035547627167339313,9076.0,KWCS 7차,2023,취업자
수면장애,연령대,,50-59,8.7,%,0.0032846492642065197,13294.0,KWCS 7차,2023,취업자
수면장애,연령대,,60-69,9.8,%,0.0037386970033870272,11088.0,KWCS 7차,2023,취업자
수면장애,연령대,,70+,15.1,%,0.005899551682354083,5658.0,KWCS 7차,2023,취업자
수면장애,성별×연령대,1.0,19-29,4.2,%,,1621.0,KWCS 7차,2023,취업자
수면장애,성별×연령대,1.0,30-39,7.1,%,0.005522284373938967,3764.0,KWCS 7차,2023,취업자
수면장애,성별×연령대,1.0,40-49,8.0,%,0.0050750092827826125,4559.0,KWCS 7차,2023,취업자
수면장애,성별×연령대,1.0,50-59,8.6,%,0.0046587325109313715,5913.0,KWCS 7차,2023,취업자
수면장애,성별×연령대,1.0,60-69,9.2,%,0.005080743904959268,5345.0,KWCS 7차,2023,취업자
수면장애,성별×연령대,1.0,70+,12.5,%,0.008242274287024207,2452.0,KWCS 7차,2023,취업자
수면장애,성별×연령대,2.0,19-29,4.8,%,,1942.0,KWCS 7차,2023,취업자
수면장애,성별×연령대,2.0,30-39,7.3,%,0.005086978990626774,3708.0,KWCS 7차,2023,취업자
수면장애,성별×연령대,2.0,40-49,7.3,%,0.004693732049228337,4517.0,KWCS 7차,2023,취업자
수면장애,성별×연령대,2.0,50-59,8.9,%,0.004503188539921114,7381.0,KWCS 7차,2023,취업자
수면장애,성별×연령대,2.0,60-69,10.6,%,0.005437471282472793,5743.0,KWCS 7차,2023,취업자
수면장애,성별×연령대,2.0,70+,17.7,%,0.008405528084165224,3206.0,KWCS 7차,2023,취업자
