person_id,wave,duration_months,event,age,sex,edu_level,occupation_raw,firm_size,emp_status,income_now,satis_stability,satis_growth
100294,4,110.0,0,30.0,2.0,2.0,,2.0,1.0,268.0,4.0,4.0
100296,4,110.0,0,31.0,1.0,2.0,,1.0,1.0,268.0,3.0,4.0
100297,4,62.0,0,31.0,2.0,4.0,,1.0,1.0,268.0,4.0,4.0
100298,4,3.0,0,29.0,2.0,4.0,,3.0,1.0,268.0,4.0,4.0
100299,4,5.0,0,23.0,2.0,2.0,,6.0,1.0,268.0,4.0,4.0
100303,4,57.0,0,29.0,1.0,3.0,,1.0,1.0,238.0,4.0,4.0
100304,4,57.0,0,28.0,1.0,4.0,,3.0,1.0,268.0,4.0,4.0
100305,4,51.0,0,30.0,1.0,4.0,,4.0,1.0,375.0,4.0,4.0
100306,4,72.0,0,28.0,2.0,3.0,,2.0,1.0,268.0,4.0,4.0
100310,1,33.0,1,19.0,1.0,2.0,,4.0,2.0,159.2008,3.0,3.0
100310,4,1.0,0,22.0,1.0,2.0,,3.0,1.0,225.94,3.0,3.0
100311,1,46.0,1,21.0,2.0,2.0,,2.0,2.0,190.0,5.0,1.0
100311,3,5.0,0,23.0,2.0,2.0,,2.0,1.0,230.0,4.0,4.0
100313,4,5.0,0,23.0,1.0,2.0,,1.0,2.0,150.0,3.0,2.0
100315,4,3.0,0,22.0,2.0,2.0,,1.0,1.0,230.0,4.0,2.0
100317,1,1.0,0,19.0,2.0,2.0,,3.0,2.0,35.0,4.0,4.0
100318,4,123.0,0,30.0,1.0,2.0,,6.0,1.0,541.6666666666666,4.0,3.0
100319,4,27.0,0,28.0,2.0,3.0,,2.0,1.0,280.0,3.0,4.0
100321,1,24.0,1,20.0,1.0,2.0,,3.0,1.0,316.6666666666667,4.0,2.0
100323,1,29.0,1,22.0,1.0,2.0,,2.0,2.0,70.0,4.0,3.0
100323,4,3.0,0,25.0,1.0,4.0,,5.0,1.0,275.0,5.0,4.0
100324,4,15.0,0,30.0,1.0,4.0,,7.0,1.0,225.0,5.0,4.0
100325,2,8.0,0,21.0,1.0,2.0,,3.0,2.0,44.0,3.0,4.0
100326,1,31.0,1,23.0,1.0,3.0,,5.0,2.0,173.79999999999998,4.0,4.0
100327,2,42.0,1,23.0,1.0,2.0,,4.0,1.0,159.2008,5.0,2.0
100327,3,2.0,0,24.0,1.0,2.0,8.0,1.0,1.0,167.19559999999998,4.0,4.0
100329,2,6.0,0,20.0,1.0,2.0,,1.0,2.0,173.79999999999998,4.0,4.0
100330,2,18.0,1,20.0,1.0,2.0,,3.0,2.0,159.2008,3.0,3.0
100330,4,9.0,0,22.0,1.0,2.0,,4.0,1.0,215.0,4.0,3.0
100331,3,0.0,0,24.0,1.0,2.0,,1.0,2.0,56.0,4.0,3.0
100332,4,14.0,0,30.0,2.0,4.0,,1.0,2.0,240.0,4.0,4.0
100333,2,21.0,1,23.0,1.0,2.0,,2.0,2.0,88.0,3.0,3.0
100333,4,2.0,0,25.0,1.0,4.0,,6.0,2.0,40.0,4.0,3.0
100334,1,28.0,0,23.0,2.0,2.0,,1.0,1.0,220.0,4.0,4.0
100336,1,0.0,0,23.0,2.0,2.0,,1.0,2.0,63.0,4.0,3.0
100337,1,18.0,1,23.0,2.0,2.0,,2.0,2.0,53.0,4.0,4.0
100338,4,39.0,0,26.0,2.0,4.0,,5.0,1.0,283.3333333333333,5.0,4.0
100339,1,0.0,0,24.0,1.0,2.0,,1.0,2.0,40.0,3.0,4.0
100340,3,14.0,0,25.0,1.0,4.0,,3.0,1.0,300.0,4.0,4.0
100341,3,14.0,0,21.0,1.0,2.0,,1.0,2.0,30.0,3.0,3.0
100342,4,27.0,0,29.0,1.0,4.0,,3.0,1.0,333.3333333333333,4.0,4.0
100344,2,13.0,1,26.0,1.0,3.0,,6.0,1.0,280.0,4.0,4.0
100344,4,13.0,0,28.0,1.0,3.0,,1.0,1.0,320.0,4.0,4.0
100345,4,15.0,0,31.0,1.0,4.0,,3.0,1.0,580.0,4.0,4.0
100347,4,14.0,0,25.0,2.0,4.0,,4.0,1.0,325.0,4.0,4.0
100348,4,76.0,0,29.0,2.0,4.0,,5.0,1.0,270.0,4.0,4.0
100349,4,61.0,0,28.0,2.0,4.0,,1.0,1.0,600.0,4.0,5.0
100350,4,52.0,0,30.0,2.0,4.0,,6.0,1.0,290.0,4.0,3.0
100352,4,27.0,0,30.0,1.0,4.0,,5.0,1.0,333.3333333333333,4.0,4.0
100356,4,109.0,0,30.0,2.0,3.0,,2.0,1.0,300.0,3.0,4.0
100357,4,50.0,0,27.0,2.0,4.0,,6.0,1.0,300.0,4.0,4.0
100358,4,73.0,0,29.0,2.0,4.0,,2.0,1.0,350.0,5.0,5.0
100359,4,38.0,0,29.0,1.0,4.0,,5.0,1.0,380.0,5.0,5.0
100361,4,73.0,0,28.0,2.0,4.0,,2.0,1.0,300.0,4.0,3.0
100362,4,63.0,0,27.0,2.0,4.0,,6.0,1.0,300.0,4.0,4.0
100366,4,49.0,0,29.0,1.0,4.0,,3.0,1.0,320.0,4.0,4.0
100367,4,3.0,0,24.0,2.0,4.0,,5.0,1.0,320.0,5.0,4.0
100368,1,25.0,1,27.0,2.0,4.0,,4.0,1.0,270.0,5.0,4.0
100368,3,21.0,1,29.0,2.0,4.0,,4.0,1.0,266.6666666666667,4.0,4.0
100368,4,1.0,0,30.0,2.0,4.0,0.0,5.0,1.0,350.0,4.0,5.0
100369,4,87.0,0,31.0,2.0,4.0,,4.0,1.0,275.0,3.0,4.0
100371,4,60.0,0,30.0,1.0,4.0,,2.0,1.0,300.0,3.0,4.0
100372,4,32.0,0,27.0,2.0,4.0,,3.0,1.0,260.0,5.0,4.0
100373,4,56.0,0,31.0,1.0,4.0,,6.0,1.0,380.0,4.0,4.0
100374,4,37.0,0,24.0,2.0,2.0,,3.0,1.0,260.0,4.0,4.0
100375,4,3.0,0,25.0,2.0,4.0,,3.0,1.0,260.0,4.0,3.0
100377,4,74.0,0,29.0,2.0,1.0,,2.0,1.0,300.0,3.0,4.0
100378,3,56.0,0,30.0,1.0,3.0,,6.0,1.0,330.0,4.0,4.0
100380,4,104.0,0,30.0,2.0,3.0,,5.0,1.0,300.0,4.0,3.0
100383,4,51.0,0,31.0,1.0,4.0,,4.0,1.0,350.0,4.0,3.0
100384,4,49.0,0,29.0,2.0,4.0,,8.0,1.0,380.0,4.0,3.0
100385,4,62.0,0,31.0,1.0,4.0,,6.0,1.0,350.0,3.0,4.0
100386,4,1.0,0,24.0,2.0,4.0,,6.0,1.0,300.0,3.0,4.0
100387,4,17.0,0,27.0,2.0,4.0,,3.0,1.0,290.0,3.0,4.0
100388,4,14.0,0,31.0,2.0,5.0,,6.0,1.0,350.0,4.0,5.0
100390,4,62.0,0,31.0,1.0,4.0,,6.0,1.0,480.0,4.0,4.0
100391,4,87.0,0,29.0,2.0,3.0,,2.0,1.0,270.0,4.0,5.0
100392,4,71.0,0,30.0,2.0,4.0,,2.0,1.0,260.0,4.0,5.0
100393,4,14.0,0,25.0,2.0,4.0,,1.0,3.0,172.06199999999998,3.0,2.0
100395,4,97.0,0,27.0,2.0,2.0,,1.0,1.0,300.0,4.0,3.0
100396,4,75.0,0,28.0,2.0,4.0,,3.0,1.0,300.0,3.0,4.0
100397,4,86.0,0,30.0,2.0,3.0,,6.0,1.0,320.0,4.0,4.0
