age,birth_year,sex,school_type,major_cat,occupation,firm_size,is_regular,income_now,income_now_start,income_first,is_first_job,job_seq,satis_overall,satis_growth,health,life_satis,happy,quit_reason,move_reason,survey,survey_year,changed_job,income_base,income_change_pct,occupation_name,occupation_scheme
,1966.0,2,1,2,1,2,,120.0,100.0,,1.0,,5.0,5.0,3.0,4.0,5.0,,,GOMS,2019,0.0,100.0,20.0,경영·사무·금융·보험,KECO2018
22.083333333333332,1998.0,2,1,2,1,7,2,170.0,160.0,,1.0,,3.0,3.0,4.0,5.0,5.0,,,GOMS,2019,0.0,160.0,6.25,경영·사무·금융·보험,KECO2018
22.5,1998.0,2,1,2,6,,1,220.0,240.0,,1.0,,4.0,4.0,3.0,5.0,4.0,,,GOMS,2019,0.0,240.0,-8.333333333333332,미용·여행·숙박·음식·경비·청소,KECO2018
22.0,1998.0,2,1,2,6,1,2,70.0,50.0,,1.0,,4.0,5.0,4.0,6.0,6.0,,8,GOMS,2019,0.0,50.0,40.0,미용·여행·숙박·음식·경비·청소,KECO2018
22.5,1998.0,2,1,2,6,6,1,200.0,160.0,,1.0,,3.0,2.0,3.0,4.0,4.0,,1,GOMS,2019,0.0,160.0,25.0,미용·여행·숙박·음식·경비·청소,KECO2018
21.666666666666668,1999.0,2,1,2,9,6,1,210.0,190.0,,1.0,,4.0,4.0,4.0,6.0,4.0,,,GOMS,2019,0.0,190.0,10.526315789473683,설치·정비·생산,KECO2018
22.916666666666668,1997.0,2,1,2,1,9,2,160.0,160.0,,1.0,,4.0,5.0,3.0,7.0,5.0,,5,GOMS,2019,0.0,160.0,0.0,경영·사무·금융·보험,KECO2018
45.0,1975.0,2,1,2,6,1,2,135.0,135.0,,1.0,,2.0,3.0,4.0,5.0,4.0,,,GOMS,2019,0.0,135.0,0.0,미용·여행·숙박·음식·경비·청소,KECO2018
25.75,1994.0,1,1,2,1,9,1,190.0,185.0,,1.0,,3.0,3.0,2.0,2.0,1.0,,,GOMS,2019,0.0,185.0,2.7027027027027026,경영·사무·금융·보험,KECO2018
27.416666666666668,1993.0,2,1,2,1,,1,200.0,184.0,,1.0,,3.0,3.0,4.0,3.0,5.0,,,GOMS,2019,0.0,184.0,8.695652173913043,경영·사무·금융·보험,KECO2018
23.333333333333332,1997.0,2,1,2,1,7,2,200.0,200.0,,1.0,,3.0,3.0,3.0,4.0,5.0,,9,GOMS,2019,0.0,200.0,0.0,경영·사무·금융·보험,KECO2018
22.916666666666668,1997.0,2,1,2,1,5,1,240.0,220.0,,1.0,,4.0,4.0,3.0,7.0,5.0,,,GOMS,2019,0.0,220.0,9.090909090909092,경영·사무·금융·보험,KECO2018
21.833333333333332,1998.0,2,1,2,1,3,2,170.0,170.0,,1.0,,4.0,3.0,5.0,5.0,5.0,,,GOMS,2019,0.0,170.0,0.0,경영·사무·금융·보험,KECO2018
24.583333333333332,1996.0,1,1,2,7,1,1,200.0,200.0,,1.0,,4.0,3.0,4.0,6.0,3.0,,,GOMS,2019,0.0,200.0,0.0,영업·판매·운전·운송,KECO2018
23.083333333333332,1997.0,2,1,2,4,2,1,175.0,130.0,,1.0,,4.0,1.0,4.0,7.0,7.0,,,GOMS,2019,0.0,130.0,34.61538461538461,보건·의료,KECO2018
23.916666666666668,1996.0,2,1,2,1,1,1,216.0,190.0,183.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,5,1,GOMS,2019,1.0,183.0,18.0327868852459,경영·사무·금융·보험,KECO2018
22.0,1998.0,2,1,2,6,3,2,80.0,80.0,,2.0,5.0,3.0,4.0,3.0,3.0,5.0,11,,GOMS,2019,1.0,,,미용·여행·숙박·음식·경비·청소,KECO2018
22.5,1998.0,2,1,2,1,2,1,171.0,169.0,,1.0,,3.0,3.0,3.0,4.0,7.0,,,GOMS,2019,0.0,169.0,1.183431952662722,경영·사무·금융·보험,KECO2018
25.083333333333332,1995.0,2,1,2,1,3,1,220.0,200.0,180.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,11,5,GOMS,2019,1.0,180.0,22.22222222222222,경영·사무·금융·보험,KECO2018
21.916666666666668,1998.0,2,1,2,1,2,1,170.0,160.0,,1.0,,4.0,4.0,3.0,4.0,4.0,,4,GOMS,2019,0.0,160.0,6.25,경영·사무·금융·보험,KECO2018
24.5,1996.0,1,1,2,1,7,2,190.0,190.0,,1.0,,4.0,4.0,4.0,6.0,6.0,,,GOMS,2019,0.0,190.0,0.0,경영·사무·금융·보험,KECO2018
,1973.0,1,1,2,5,1,,230.0,230.0,,1.0,,4.0,4.0,5.0,6.0,7.0,,,GOMS,2019,0.0,230.0,0.0,예술·디자인·방송·스포츠,KECO2018
22.166666666666668,1998.0,2,1,2,3,3,1,200.0,200.0,,1.0,,4.0,4.0,4.0,6.0,6.0,,,GOMS,2019,0.0,200.0,0.0,교육·법률·복지·공공,KECO2018
22.833333333333332,1997.0,1,1,2,7,1,2,50.0,50.0,,1.0,,3.0,2.0,5.0,5.0,5.0,,,GOMS,2019,0.0,50.0,0.0,영업·판매·운전·운송,KECO2018
25.333333333333332,1995.0,1,1,2,1,3,1,220.0,220.0,,1.0,,2.0,1.0,3.0,3.0,3.0,,,GOMS,2019,0.0,220.0,0.0,경영·사무·금융·보험,KECO2018
22.166666666666668,1998.0,2,1,2,7,3,2,120.0,100.0,,1.0,,5.0,5.0,3.0,3.0,3.0,,,GOMS,2019,0.0,100.0,20.0,영업·판매·운전·운송,KECO2018
,1952.0,1,1,2,1,4,1,550.0,550.0,,1.0,,5.0,5.0,4.0,6.0,7.0,,,GOMS,2019,0.0,550.0,0.0,경영·사무·금융·보험,KECO2018
25.666666666666668,1995.0,1,1,2,3,3,1,190.0,184.0,,1.0,,4.0,2.0,5.0,6.0,3.0,,,GOMS,2019,0.0,184.0,3.260869565217391,교육·법률·복지·공공,KECO2018
22.916666666666668,1997.0,2,1,2,4,1,2,195.0,190.0,180.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,11,,GOMS,2019,1.0,180.0,8.333333333333332,보건·의료,KECO2018
,1964.0,2,1,2,3,2,1,250.0,180.0,,1.0,,4.0,3.0,4.0,6.0,7.0,,,GOMS,2019,0.0,180.0,38.88888888888889,교육·법률·복지·공공,KECO2018
27.083333333333332,1993.0,1,1,2,3,5,1,200.0,187.0,,1.0,,4.0,2.0,4.0,6.0,4.0,,,GOMS,2019,0.0,187.0,6.951871657754011,교육·법률·복지·공공,KECO2018
23.25,1997.0,2,1,2,3,3,1,210.0,210.0,,1.0,,1.0,1.0,1.0,7.0,5.0,,,GOMS,2019,0.0,210.0,0.0,교육·법률·복지·공공,KECO2018
,1973.0,2,1,2,3,4,2,100.0,100.0,,1.0,,4.0,4.0,4.0,5.0,5.0,,,GOMS,2019,0.0,100.0,0.0,교육·법률·복지·공공,KECO2018
22.416666666666668,1998.0,1,1,2,3,3,1,198.0,198.0,,1.0,,4.0,4.0,4.0,6.0,7.0,,,GOMS,2019,0.0,198.0,0.0,교육·법률·복지·공공,KECO2018
21.583333333333332,1999.0,2,1,2,5,2,1,140.0,70.0,75.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,14,1,GOMS,2019,1.0,75.0,86.66666666666667,예술·디자인·방송·스포츠,KECO2018
,1959.0,1,1,2,3,3,1,100.0,50.0,,1.0,,4.0,4.0,4.0,6.0,6.0,,,GOMS,2019,0.0,50.0,100.0,교육·법률·복지·공공,KECO2018
39.916666666666664,1980.0,2,1,2,1,4,,200.0,200.0,,1.0,,4.0,3.0,4.0,5.0,7.0,,2,GOMS,2019,0.0,200.0,0.0,경영·사무·금융·보험,KECO2018
,1974.0,2,1,2,3,2,1,180.0,180.0,,1.0,,4.0,3.0,4.0,5.0,6.0,,,GOMS,2019,0.0,180.0,0.0,교육·법률·복지·공공,KECO2018
,1975.0,2,1,2,3,3,1,210.0,210.0,,1.0,,4.0,4.0,4.0,6.0,6.0,,,GOMS,2019,0.0,210.0,0.0,교육·법률·복지·공공,KECO2018
,1955.0,1,1,2,3,5,1,210.0,160.0,,1.0,,4.0,3.0,3.0,4.0,4.0,,,GOMS,2019,0.0,160.0,31.25,교육·법률·복지·공공,KECO2018
