year,emp_type,ksic_section,industry,item,unit,value
2020,전체근로자,A,"농업, 임업 및 어업",전년도 연간특별급여/12개월,천원,398.0
2020,전체근로자,A,"농업, 임업 및 어업",전년도 연간특별급여,천원,4774.0
2021,전체근로자,A,"농업, 임업 및 어업",총근로일수,일,21.0
2021,전체근로자,A,"농업, 임업 및 어업",총근로시간,시간,164.3
2021,전체근로자,A,"농업, 임업 및 어업",소정실근로시간,시간,159.8
2021,전체근로자,A,"농업, 임업 및 어업",초과근로시간,시간,4.5
2021,전체근로자,A,"농업, 임업 및 어업",휴일근로시간,시간,2.3
2021,전체근로자,A,"농업, 임업 및 어업",시간당임금총액,원,19128.0
2021,전체근로자,A,"농업, 임업 및 어업",시간당정액급여,원,16874.0
2021,전체근로자,A,"농업, 임업 및 어업",월임금총액,천원,3127.0
2021,전체근로자,A,"농업, 임업 및 어업",월급여액,천원,2747.0
2021,전체근로자,A,"농업, 임업 및 어업",정액급여,천원,2673.0
2021,전체근로자,A,"농업, 임업 및 어업",초과급여,천원,74.0
2021,전체근로자,A,"농업, 임업 및 어업",전년도 연간특별급여/12개월,천원,380.0
2021,전체근로자,A,"농업, 임업 및 어업",전년도 연간특별급여,천원,4557.0
2022,전체근로자,A,"농업, 임업 및 어업",총근로일수,일,19.8
2022,전체근로자,A,"농업, 임업 및 어업",총근로시간,시간,153.7
2022,전체근로자,A,"농업, 임업 및 어업",소정실근로시간,시간,149.2
2022,전체근로자,A,"농업, 임업 및 어업",초과근로시간,시간,4.5
2022,전체근로자,A,"농업, 임업 및 어업",휴일근로시간,시간,2.4
2022,전체근로자,A,"농업, 임업 및 어업",시간당임금총액,원,20469.0
2022,전체근로자,A,"농업, 임업 및 어업",시간당정액급여,원,18147.0
2022,전체근로자,A,"농업, 임업 및 어업",월임금총액,천원,3113.0
2022,전체근로자,A,"농업, 임업 및 어업",월급여액,천원,2748.0
2022,전체근로자,A,"농업, 임업 및 어업",정액급여,천원,2667.0
2022,전체근로자,A,"농업, 임업 및 어업",초과급여,천원,81.0
