지표명,구분유형,sex,agegroup,값,단위,se,n,출처,조사연도
EQ5D_불안우울문제,성별,1.0,,9.2,%,,106776.0,CHS 2025,2025
EQ5D_불안우울문제,성별,2.0,,15.7,%,,124821.0,CHS 2025,2025
EQ5D_불안우울문제,연령대,,19-29,9.8,%,,19525.0,CHS 2025,2025
EQ5D_불안우울문제,연령대,,30-39,10.4,%,,24228.0,CHS 2025,2025
EQ5D_불안우울문제,연령대,,40-49,10.8,%,,31382.0,CHS 2025,2025
EQ5D_불안우울문제,연령대,,50-59,11.2,%,,42641.0,CHS 2025,2025
EQ5D_불안우울문제,연령대,,60-69,13.1,%,,53392.0,CHS 2025,2025
EQ5D_불안우울문제,연령대,,70+,19.6,%,,60429.0,CHS 2025,2025
EQ5D_불안우울문제,성별×연령대,1.0,19-29,7.1,%,,9695.0,CHS 2025,2025
EQ5D_불안우울문제,성별×연령대,1.0,30-39,7.3,%,,12063.0,CHS 2025,2025
EQ5D_불안우울문제,성별×연령대,1.0,40-49,8.0,%,,14971.0,CHS 2025,2025
EQ5D_불안우울문제,성별×연령대,1.0,50-59,8.8,%,,19837.0,CHS 2025,2025
EQ5D_불안우울문제,성별×연령대,1.0,60-69,10.3,%,,24916.0,CHS 2025,2025
EQ5D_불안우울문제,성별×연령대,1.0,70+,14.6,%,,25294.0,CHS 2025,2025
EQ5D_불안우울문제,성별×연령대,2.0,19-29,12.6,%,,9830.0,CHS 2025,2025
EQ5D_불안우울문제,성별×연령대,2.0,30-39,13.9,%,,12165.0,CHS 2025,2025
EQ5D_불안우울문제,성별×연령대,2.0,40-49,13.7,%,,16411.0,CHS 2025,2025
EQ5D_불안우울문제,성별×연령대,2.0,50-59,13.7,%,,22804.0,CHS 2025,2025
EQ5D_불안우울문제,성별×연령대,2.0,60-69,15.7,%,,28476.0,CHS 2025,2025
EQ5D_불안우울문제,성별×연령대,2.0,70+,23.7,%,,35135.0,CHS 2025,2025
EQ5D_통증문제,전체,,,27.3,%,,231613.0,CHS 2025,2025
EQ5D_통증문제,성별,1.0,,22.5,%,,106779.0,CHS 2025,2025
