year,ksic_section,industry,owner_group,소멸,소멸률,신생,신생률,활동
2011,H,운수 및 창고업,계,34975.0,6.5,43700.0,8.1,539808.0
2011,H,운수 및 창고업,남자,30257.0,6.2,37072.0,7.6,487802.0
2011,H,운수 및 창고업,여자,4718.0,9.1,6628.0,12.7,52006.0
2011,H,운수 및 창고업,연령미상,140.0,10.0,195.0,13.9,1400.0
2011,I,숙박 및 음식점업,30대,32197.0,24.3,39677.0,29.9,132519.0
2011,I,숙박 및 음식점업,30대 미만,12234.0,26.9,17571.0,38.7,45398.0
2011,I,숙박 및 음식점업,40대,50656.0,20.2,54869.0,21.9,250721.0
2011,I,숙박 및 음식점업,50대,42967.0,17.6,40235.0,16.5,244083.0
2011,I,숙박 및 음식점업,60대,11609.0,16.8,9194.0,13.3,68911.0
2011,I,숙박 및 음식점업,70대 이상,3326.0,19.3,2193.0,12.7,17212.0
2011,I,숙박 및 음식점업,계,153940.0,20.2,164557.0,21.6,761907.0
2011,I,숙박 및 음식점업,남자,56811.0,20.8,63058.0,23.1,272997.0
2011,I,숙박 및 음식점업,여자,97129.0,19.9,101499.0,20.8,488910.0
2011,I,숙박 및 음식점업,연령미상,951.0,31.0,818.0,26.7,3063.0
2011,J,정보통신업,30대,2835.0,16.4,5060.0,29.3,17299.0
2011,J,정보통신업,30대 미만,578.0,28.6,1097.0,54.2,2024.0
2011,J,정보통신업,40대,2839.0,13.0,4347.0,19.9,21811.0
2011,J,정보통신업,50대,1121.0,11.9,1906.0,20.3,9407.0
2011,J,정보통신업,60대,329.0,14.1,616.0,26.3,2338.0
2011,J,정보통신업,70대 이상,140.0,16.8,297.0,35.6,834.0
2011,J,정보통신업,계,7966.0,14.5,13629.0,24.8,55056.0
2011,J,정보통신업,남자,6071.0,13.7,10224.0,23.0,44436.0
2011,J,정보통신업,여자,1895.0,17.8,3405.0,32.1,10620.0
2011,J,정보통신업,연령미상,124.0,9.2,306.0,22.8,1343.0
2011,K,금융 및 보험업,30대,1300.0,31.4,1556.0,37.6,4142.0
2011,K,금융 및 보험업,30대 미만,309.0,43.5,384.0,54.1,710.0
2011,K,금융 및 보험업,40대,1578.0,22.7,1686.0,24.2,6965.0
2011,K,금융 및 보험업,50대,994.0,18.5,942.0,17.6,5366.0
2011,K,금융 및 보험업,60대,377.0,20.5,336.0,18.3,1837.0
2011,K,금융 및 보험업,70대 이상,113.0,20.9,80.0,14.8,540.0
2011,K,금융 및 보험업,계,4783.0,23.3,5139.0,25.0,20563.0
2011,K,금융 및 보험업,남자,3251.0,22.7,3480.0,24.3,14294.0
2011,K,금융 및 보험업,여자,1532.0,24.4,1659.0,26.5,6269.0
2011,K,금융 및 보험업,연령미상,112.0,11.2,155.0,15.5,1003.0
2011,L,부동산업,30대,9638.0,13.8,16161.0,23.2,69608.0
2011,L,부동산업,30대 미만,1263.0,14.2,2672.0,30.0,8912.0
2011,L,부동산업,40대,25640.0,11.8,37742.0,17.3,218118.0
2011,L,부동산업,50대,32368.0,9.5,41894.0,12.4,339071.0
2011,L,부동산업,60대,19015.0,7.5,20298.0,8.0,253168.0
2011,L,부동산업,70대 이상,12803.0,8.4,8742.0,5.7,152800.0
2011,L,부동산업,계,101594.0,9.7,128783.0,12.3,1050929.0
2011,L,부동산업,남자,59069.0,9.1,70251.0,10.9,647420.0
2011,L,부동산업,여자,42525.0,10.5,58532.0,14.5,403509.0
2011,L,부동산업,연령미상,867.0,9.4,1274.0,13.8,9252.0
2011,M,전문과학기술서비스업,30대,3671.0,14.0,7109.0,27.0,26305.0
2011,M,전문과학기술서비스업,30대 미만,673.0,24.5,1408.0,51.2,2752.0
2011,M,전문과학기술서비스업,40대,4471.0,10.8,6624.0,16.0,41432.0
2011,M,전문과학기술서비스업,50대,2368.0,9.0,3117.0,11.9,26198.0
2011,M,전문과학기술서비스업,60대,840.0,9.5,1035.0,11.8,8807.0
2011,M,전문과학기술서비스업,70대 이상,443.0,10.7,325.0,7.8,4149.0
2011,M,전문과학기술서비스업,계,12699.0,11.4,19997.0,17.9,111519.0
2011,M,전문과학기술서비스업,남자,9479.0,10.4,15137.0,16.5,91583.0
2011,M,전문과학기술서비스업,여자,3220.0,16.2,4860.0,24.4,19936.0
2011,M,전문과학기술서비스업,연령미상,233.0,12.4,379.0,20.2,1876.0
2011,N,"사업시설관리, 사업지원 및 임대 서비스업",30대,4572.0,23.4,5364.0,27.4,19542.0
2011,N,"사업시설관리, 사업지원 및 임대 서비스업",30대 미만,1231.0,35.1,1568.0,44.8,3503.0
2011,N,"사업시설관리, 사업지원 및 임대 서비스업",40대,4549.0,15.5,5507.0,18.7,29437.0
2011,N,"사업시설관리, 사업지원 및 임대 서비스업",50대,2983.0,14.2,3226.0,15.3,21052.0
2011,N,"사업시설관리, 사업지원 및 임대 서비스업",60대,1045.0,15.4,969.0,14.3,6771.0
2011,N,"사업시설관리, 사업지원 및 임대 서비스업",70대 이상,304.0,17.8,205.0,12.0,1706.0
2011,N,"사업시설관리, 사업지원 및 임대 서비스업",계,14887.0,17.8,17180.0,20.6,83493.0
2011,N,"사업시설관리, 사업지원 및 임대 서비스업",남자,10454.0,17.4,11898.0,19.8,60052.0
2011,N,"사업시설관리, 사업지원 및 임대 서비스업",여자,4433.0,18.9,5282.0,22.5,23441.0
2011,N,"사업시설관리, 사업지원 및 임대 서비스업",연령미상,203.0,13.7,341.0,23.0,1482.0
2011,P,교육서비스업,30대,9013.0,20.6,11626.0,26.6,43714.0
2011,P,교육서비스업,30대 미만,1826.0,25.3,3050.0,42.3,7206.0
2011,P,교육서비스업,40대,10309.0,19.3,10535.0,19.7,53531.0
2011,P,교육서비스업,50대,3538.0,18.9,3070.0,16.4,18724.0
2011,P,교육서비스업,60대,633.0,19.9,560.0,17.6,3174.0
2011,P,교육서비스업,70대 이상,217.0,25.0,134.0,15.4,868.0
2011,P,교육서비스업,계,25680.0,20.1,29122.0,22.8,127847.0
2011,P,교육서비스업,남자,10613.0,18.4,12528.0,21.7,57724.0
2011,P,교육서비스업,여자,15067.0,21.5,16594.0,23.7,70123.0
2011,P,교육서비스업,연령미상,144.0,22.9,147.0,23.3,630.0
2011,Q,보건업 및 사회복지 서비스업,30대,1345.0,8.9,2907.0,19.3,15042.0
2011,Q,보건업 및 사회복지 서비스업,30대 미만,161.0,22.1,334.0,45.9,727.0
2011,Q,보건업 및 사회복지 서비스업,40대,1964.0,6.2,2266.0,7.2,31510.0
2011,Q,보건업 및 사회복지 서비스업,50대,1147.0,7.1,1051.0,6.5,16205.0
2011,Q,보건업 및 사회복지 서비스업,60대,407.0,9.1,274.0,6.2,4451.0
2011,Q,보건업 및 사회복지 서비스업,70대 이상,303.0,13.3,160.0,7.0,2273.0
2011,Q,보건업 및 사회복지 서비스업,계,5366.0,7.6,7043.0,10.0,70524.0
2011,Q,보건업 및 사회복지 서비스업,남자,3821.0,6.6,4853.0,8.4,57471.0
2011,Q,보건업 및 사회복지 서비스업,여자,1545.0,11.8,2190.0,16.8,13053.0
2011,Q,보건업 및 사회복지 서비스업,연령미상,39.0,12.3,51.0,16.1,316.0
2011,R,"예술, 스포츠 및 여가관련 서비스업",30대,6742.0,26.4,7718.0,30.2,25573.0
2011,R,"예술, 스포츠 및 여가관련 서비스업",30대 미만,1820.0,27.9,2709.0,41.5,6529.0
2011,R,"예술, 스포츠 및 여가관련 서비스업",40대,8113.0,21.1,10021.0,26.1,38386.0
2011,R,"예술, 스포츠 및 여가관련 서비스업",50대,6062.0,17.8,7102.0,20.8,34103.0
