year,industry,ksic_section,owner_group,item,value
2015,전체,전체,여자,신생,372245.0
2015,전체,전체,여자,소멸,295801.0
2015,전체,전체,여자,신생률,17.6
2015,전체,전체,여자,소멸률,14.0
2016,전체,전체,여자,활동,2215985.0
2016,전체,전체,여자,신생,401528.0
2016,전체,전체,여자,소멸,293653.0
2016,전체,전체,여자,신생률,18.1
2016,전체,전체,여자,소멸률,13.3
2017,전체,전체,여자,활동,2337541.0
2017,전체,전체,여자,신생,422910.0
2017,전체,전체,여자,소멸,327612.0
2017,전체,전체,여자,신생률,18.1
2017,전체,전체,여자,소멸률,14.0
2018,전체,전체,여자,활동,2427477.0
2018,전체,전체,여자,신생,430117.0
2018,전체,전체,여자,소멸,326862.0
2018,전체,전체,여자,신생률,17.7
2018,전체,전체,여자,소멸률,13.5
2019,전체,전체,여자,활동,2551876.0
2019,전체,전체,여자,신생,465696.0
2019,전체,전체,여자,소멸,346842.0
2019,전체,전체,여자,신생률,18.2
2019,전체,전체,여자,소멸률,13.6
2020,전체,전체,여자,활동,2690227.0
2020,전체,전체,여자,신생,499332.0
2020,전체,전체,여자,소멸,361509.0
2020,전체,전체,여자,신생률,18.6
2020,전체,전체,여자,소멸률,13.4
2021,전체,전체,여자,활동,2796790.0
2021,전체,전체,여자,신생,480515.0
2021,전체,전체,여자,소멸,343124.0
2021,전체,전체,여자,신생률,17.2
2021,전체,전체,여자,소멸률,12.3
2022,전체,전체,여자,활동,2902802.0
2022,전체,전체,여자,신생,458695.0
2022,전체,전체,여자,소멸,348504.0
2022,전체,전체,여자,신생률,15.8
2022,전체,전체,여자,소멸률,12.0
2023,전체,전체,여자,활동,2991043.0
2023,전체,전체,여자,신생,443900.0
2023,전체,전체,여자,소멸,362864.0
2023,전체,전체,여자,신생률,14.8
2023,전체,전체,여자,소멸률,12.1
2024,전체,전체,여자,활동,3045398.0
2024,전체,전체,여자,신생,429391.0
2024,전체,전체,여자,신생률,14.1
2011,전체,전체,30대 미만,활동,180439.0
2011,전체,전체,30대 미만,신생,70838.0
2011,전체,전체,30대 미만,소멸,44873.0
2011,전체,전체,30대 미만,신생률,39.3
2011,전체,전체,30대 미만,소멸률,24.9
2012,전체,전체,30대 미만,활동,168043.0
2012,전체,전체,30대 미만,신생,63912.0
2012,전체,전체,30대 미만,소멸,43513.0
2012,전체,전체,30대 미만,신생률,38.0
2012,전체,전체,30대 미만,소멸률,25.9
2013,전체,전체,30대 미만,활동,152858.0
2013,전체,전체,30대 미만,신생,57990.0
2013,전체,전체,30대 미만,소멸,35542.0
2013,전체,전체,30대 미만,신생률,37.9
2013,전체,전체,30대 미만,소멸률,23.3
2014,전체,전체,30대 미만,활동,155740.0
2014,전체,전체,30대 미만,신생,63723.0
2014,전체,전체,30대 미만,소멸,35797.0
2014,전체,전체,30대 미만,신생률,40.9
2014,전체,전체,30대 미만,소멸률,23.0
2015,전체,전체,30대 미만,활동,156755.0
2015,전체,전체,30대 미만,신생,62382.0
2015,전체,전체,30대 미만,소멸,33460.0
2015,전체,전체,30대 미만,신생률,39.8
2015,전체,전체,30대 미만,소멸률,21.3
2016,전체,전체,30대 미만,활동,170414.0
2016,전체,전체,30대 미만,신생,70933.0
2016,전체,전체,30대 미만,소멸,34534.0
2016,전체,전체,30대 미만,신생률,41.6
2016,전체,전체,30대 미만,소멸률,20.3
2017,전체,전체,30대 미만,활동,186646.0
2017,전체,전체,30대 미만,신생,77302.0
2017,전체,전체,30대 미만,소멸,39867.0
2017,전체,전체,30대 미만,신생률,41.4
2017,전체,전체,30대 미만,소멸률,21.4
2018,전체,전체,30대 미만,활동,197768.0
2018,전체,전체,30대 미만,신생,79687.0
2018,전체,전체,30대 미만,소멸,41742.0
2018,전체,전체,30대 미만,신생률,40.3
2018,전체,전체,30대 미만,소멸률,21.1
2019,전체,전체,30대 미만,활동,210446.0
2019,전체,전체,30대 미만,신생,85838.0
2019,전체,전체,30대 미만,소멸,42978.0
2019,전체,전체,30대 미만,신생률,40.8
2019,전체,전체,30대 미만,소멸률,20.4
2020,전체,전체,30대 미만,활동,231014.0
2020,전체,전체,30대 미만,신생,97291.0
2020,전체,전체,30대 미만,소멸,49277.0
2020,전체,전체,30대 미만,신생률,42.1
2020,전체,전체,30대 미만,소멸률,21.3
2021,전체,전체,30대 미만,활동,241766.0
2021,전체,전체,30대 미만,신생,99433.0
2021,전체,전체,30대 미만,소멸,48205.0
2021,전체,전체,30대 미만,신생률,41.1
2021,전체,전체,30대 미만,소멸률,19.9
2022,전체,전체,30대 미만,활동,242519.0
2022,전체,전체,30대 미만,신생,93260.0
2022,전체,전체,30대 미만,소멸,48730.0
2022,전체,전체,30대 미만,신생률,38.5
2022,전체,전체,30대 미만,소멸률,20.1
2023,전체,전체,30대 미만,활동,240066.0
2023,전체,전체,30대 미만,신생,90556.0
2023,전체,전체,30대 미만,소멸,51224.0
2023,전체,전체,30대 미만,신생률,37.7
2023,전체,전체,30대 미만,소멸률,21.3
2024,전체,전체,30대 미만,활동,223698.0
2024,전체,전체,30대 미만,신생,79852.0
2024,전체,전체,30대 미만,신생률,35.7
2011,전체,전체,30대,활동,876051.0
2011,전체,전체,30대,신생,210263.0
2011,전체,전체,30대,소멸,149746.0
2011,전체,전체,30대,신생률,24.0
2011,전체,전체,30대,소멸률,17.1
2012,전체,전체,30대,활동,852395.0
2012,전체,전체,30대,신생,201321.0
2012,전체,전체,30대,소멸,152058.0
2012,전체,전체,30대,신생률,23.6
2012,전체,전체,30대,소멸률,17.8
2013,전체,전체,30대,활동,817645.0
2013,전체,전체,30대,신생,194679.0
2013,전체,전체,30대,소멸,136064.0
2013,전체,전체,30대,신생률,23.8
2013,전체,전체,30대,소멸률,16.6
2014,전체,전체,30대,활동,811623.0
2014,전체,전체,30대,신생,205651.0
2014,전체,전체,30대,소멸,131726.0
2014,전체,전체,30대,신생률,25.3
2014,전체,전체,30대,소멸률,16.2
2015,전체,전체,30대,활동,808070.0
2015,전체,전체,30대,신생,198131.0
2015,전체,전체,30대,소멸,124392.0
2015,전체,전체,30대,신생률,24.5
2015,전체,전체,30대,소멸률,15.4
2016,전체,전체,30대,활동,827642.0
2016,전체,전체,30대,신생,207573.0
2016,전체,전체,30대,소멸,122070.0
2016,전체,전체,30대,신생률,25.1
2016,전체,전체,30대,소멸률,14.7
2017,전체,전체,30대,활동,846549.0
