year,emp_type,age_group,시간당임금총액_원,총근로시간_h,월임금총액_만원,월급여액_만원,정액급여_만원,초과급여_만원
2008,비정규직근로자(특수형태포함),50~59세,,,142.2,139.2,136.2,3.1
2008,비정규직근로자(특수형태포함),60세이상,,,112.7,111.1,108.6,2.5
2008,비정규직근로자(특수형태포함),전체,,,137.9,134.5,131.4,3.1
2008,전체근로자,29세이하,9185.0,178.6,161.2,143.1,134.2,8.9
2008,전체근로자,30~39세,14219.0,183.1,248.9,210.3,198.1,12.3
2008,전체근로자,40~49세,15185.0,186.8,269.3,224.7,210.1,14.6
2008,전체근로자,50~59세,14065.0,189.3,251.4,213.8,201.0,12.9
2008,전체근로자,60세이상,9312.0,203.1,167.5,155.1,151.4,3.7
2008,전체근로자,전체,12920.0,184.5,227.9,194.5,182.8,11.7
2008,전체근로자(특수형태포함),29세이하,,,161.3,143.6,134.9,8.7
2008,전체근로자(특수형태포함),30~39세,,,248.0,210.9,199.2,11.8
2008,전체근로자(특수형태포함),40~49세,,,267.5,225.1,211.4,13.7
2008,전체근로자(특수형태포함),50~59세,,,249.3,213.2,200.9,12.3
2008,전체근로자(특수형태포함),60세이상,,,166.2,154.1,150.5,3.6
2008,전체근로자(특수형태포함),전체,,,227.5,195.2,184.0,11.2
2008,정규근로자,29세이하,10172.0,186.6,183.0,159.3,148.5,10.8
2008,정규근로자,30~39세,14994.0,186.5,267.0,222.8,209.2,13.6
2008,정규근로자,40~49세,16791.0,192.2,303.6,248.7,231.4,17.3
2008,정규근로자,50~59세,16098.0,195.8,293.1,243.5,227.5,16.1
2008,정규근로자,60세이상,11230.0,204.0,205.6,185.8,181.4,4.4
2008,정규근로자,전체,14283.0,189.6,256.9,215.1,201.3,13.8
2009,비정규근로자,29세이하,6362.0,160.1,101.3,98.6,94.9,3.7
2009,비정규근로자,30~39세,8945.0,168.8,139.2,134.8,130.3,4.5
2009,비정규근로자,40~49세,8507.0,165.1,131.3,128.6,125.5,3.1
2009,비정규근로자,50~59세,8622.0,170.3,138.6,135.5,132.6,2.9
