year,emp_type_code,emp_type,시간당임금총액_원,총근로시간_h,월임금총액_만원,월급여액_만원,정액급여_만원,초과급여_만원
2013,03,비정규근로자,11259.0,134.4,140.4,137.2,131.2,6.0
2013,04,비정규근로자(특수형태포함),,,165.4,162.6,157.8,4.8
2013,05,특수형태근로종사자,,,270.0,269.0,269.0,
2013,06,재택/가내근로자,9410.0,133.9,126.8,123.8,122.8,0.9
2013,07,파견/용역근로자,9229.0,181.3,157.3,154.0,144.8,9.2
2013,08,일일근로자,12765.0,116.1,146.0,145.9,143.6,2.3
2013,09,단시간근로자,10802.0,81.7,71.4,70.7,69.9,0.8
2013,10,기간제근로자,12015.0,175.3,199.6,190.0,175.0,15.0
2013,11,한시적근로자,9207.0,165.7,144.4,143.2,141.0,2.3
2014,00,전체근로자,16701.0,165.5,270.0,235.3,220.0,15.3
2014,01,전체근로자(특수형태포함),,,269.5,236.3,221.7,14.6
2014,02,정규근로자,18426.0,177.7,315.1,269.8,251.8,18.0
2014,03,비정규근로자,11463.0,128.3,133.3,130.5,123.4,7.1
2014,04,비정규근로자(특수형태포함),,,153.1,150.7,144.7,6.0
2014,05,특수형태근로종사자,,,257.5,257.3,257.1,
2014,06,재택/가내근로자,9906.0,117.4,122.1,118.3,114.8,3.4
2014,07,파견/용역근로자,9150.0,183.0,153.9,150.9,140.4,10.5
2014,08,일일근로자,12589.0,101.1,121.3,121.2,118.5,2.8
2014,09,단시간근로자,11603.0,76.8,69.8,69.2,68.3,0.9
2014,10,기간제근로자,11872.0,178.0,202.6,193.8,177.0,16.8
2014,11,한시적근로자,9910.0,160.3,153.4,152.5,144.1,8.5
2015,00,전체근로자,15978.0,173.5,274.0,241.5,226.2,15.3
2015,01,전체근로자(특수형태포함),,,273.4,242.4,227.8,14.6
2015,02,정규근로자,17480.0,187.4,319.4,277.1,258.9,18.2
2015,03,비정규근로자,11452.0,131.6,137.2,134.2,127.8,6.4
2015,04,비정규근로자(특수형태포함),,,157.0,154.3,149.0,5.4
2015,05,특수형태근로종사자,,,260.8,260.3,260.3,
2015,06,재택/가내근로자,10425.0,139.0,133.7,129.7,124.3,5.4
2015,07,파견/용역근로자,9053.0,184.9,160.2,157.5,147.7,9.8
2015,08,일일근로자,13158.0,100.3,129.7,129.7,127.7,2.0
2015,09,단시간근로자,11524.0,83.9,74.7,74.0,73.1,0.9
2015,10,기간제근로자,11575.0,184.9,208.3,198.7,182.1,16.7
2015,11,한시적근로자,8643.0,167.3,138.6,137.8,135.3,2.5
2016,00,전체근로자,16709.0,171.1,283.3,249.8,234.7,15.1
2016,01,전체근로자(특수형태포함),,,282.3,250.3,235.9,14.4
2016,02,정규근로자,18212.0,184.7,328.3,285.0,267.4,17.7
2016,03,비정규근로자,12076.0,129.3,144.5,141.1,133.8,7.3
2016,04,비정규근로자(특수형태포함),,,164.3,161.3,155.3,6.0
2016,05,특수형태근로종사자,,,261.1,260.6,260.6,
2016,06,재택/가내근로자,10513.0,115.3,118.8,114.8,113.9,0.8
2016,07,파견/용역근로자,9512.0,185.5,170.3,168.1,157.6,10.6
2016,08,일일근로자,14905.0,97.1,141.8,141.8,138.3,3.5
2016,09,단시간근로자,11270.0,82.6,75.9,74.8,73.9,1.0
2016,10,기간제근로자,12028.0,183.9,216.5,205.8,188.1,17.7
2016,11,한시적근로자,8960.0,150.7,129.6,128.8,127.1,1.7
2017,00,전체근로자,17381.0,168.5,289.6,257.8,241.9,15.8
2017,01,전체근로자(특수형태포함),,,288.2,257.8,242.7,15.1
2017,02,정규근로자,18835.0,183.1,336.3,294.9,276.1,18.8
2017,03,비정규근로자,13053.0,125.1,150.6,147.3,140.3,7.0
2017,04,비정규근로자(특수형태포함),,,168.0,165.1,159.3,5.8
2017,05,특수형태근로종사자,,,258.9,258.5,258.4,
2017,06,재택/가내근로자,11009.0,124.8,130.9,127.2,126.1,1.1
2017,07,파견/용역근로자,10708.0,181.8,189.2,184.7,175.2,9.5
2017,08,일일근로자,15804.0,93.9,145.2,145.2,143.4,1.7
2017,09,단시간근로자,12242.0,82.1,81.2,80.3,79.2,1.1
